"DBN","School Name","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","FL Percent","FRL Percent","Pre-K Demographics","K Demographics","Grade 1 Demographics","Grade 2 Demographics","Grade 3 Demographics","Grade 4 Demographics","Grade 5 Demographics","Grade 6 Demographics","Grade 7 Demographics","Grade 8 Demographics","Grade 9 Demographics","Grade 10 Demographics","Grade 11 Demographics","Grade 12 Demographics","Number of English Language Learners","Percent of English Language Learners","Number of Special Education Students","Percent of Special Education Students","Number of Collaborative Team Teaching Students","Number of Self-Contained Classroom Students","Number of Asian Students","Percent of Asian Students","Number of Black Students","Percent of Black Students","Number of Hispanic Students","Percent of Hispanic Students","Number of White Students","Percent of White Students","Number of Male Students","Percent of Male Students","Number of Female Students","Percent of Female Students","Number of Students in Cohort","Number of Graduation Students in Cohort","Percent of Graduation Students in Cohort","Number of Regents in Cohort","Total Regents - % of cohort","Total Regents - % of grads","Advanced Regents - n","Advanced Regents - % of cohort","Advanced Regents - % of grads","Regents without Advanced - n","Regents without Advanced - % of cohort","Regents without Advanced - % of grads","Local - n","Local - % of cohort","Local - % of grads","Still Enrolled - n","Still Enrolled - % of cohort","Dropped Out - n","Dropped Out - % of cohort","Number of Students Tested for ELA","ELA Mean Scale Score","Number of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 1 in ELA","Number of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 2 in ELA","Number of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 3 in ELA","Number of Students Scoring Level 4 in ELA","Percent of Students Scoring Level 4 in ELA","Number of Students Tested for Math","Math Mean Scale Score","Number of Students Scoring Level 1 in Math","Percent of Students Scoring Level 1 in Math","Number of Students Scoring Level 2 in Math","Percent of Students Scoring Level 2 in Math","Number of Students Scoring Level 3 in Math","Percent of Students Scoring Level 3 in Math","Number of Students Scoring Level 4 in Math","Percent of Students Scoring Level 4 in Math"
"K539","High School for Service & Learning at Erasmus","3523020","413","8530.3148","General Academic","High school","911 FLATBUSH AVENUE","BROOKLYN","NY","11226","K","40.64954100000000","-73.95850070000000","[-73.9585007,40.649541]",NULL,NULL,"0","80","0","0","0","0","0","0","0","0","0","0","77","126","102","108","29","7","59","14","34","2","6","2","368","89","38","9","0","0","231","56","182","44","111","87","78","64","58","74","13","12","15","51","46","59","23","21","26","12","11","10","9",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K540","John Dewey High School","17412614","2756","6318.0747","General Academic","High school","50 AVENUE X","BROOKLYN","NY","11223","K","40.58924960000000","-73.98183220000000","[-73.9818322,40.5892496]",NULL,NULL,"0","45","0","0","0","0","0","0","0","0","0","0","1012","889","497","358","448","16","214","8","63","75","934","34","887","32","555","20","364","13","1314","48","1442","52","637","355","56","305","48","86","121","19","34","184","29","52","50","8","14","190","30","67","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K543","Science, Technology and Research Early College High School at Erasmus","3468643","491","7064.4460","General Academic","Secondary School","911 FLATBUSH AVENUE","BROOKLYN","NY","11226","K","40.64954100000000","-73.95850070000000","[-73.9585007,40.649541]","EMS","C","0","80","0","0","0","0","0","0","0","67","72","67","73","68","68","76","0","0","8","2","0","1","17","4","433","88","33","7","4","1","231","47","260","53","90","88","98","81","90","92","14","16","16","67","74","76","7","8","8","2","2","0","0","199","0","1","1","104","52","90","45","4","2","199","0","2","1","65","32","95","47","37","19"
"K544","International Arts Business School","4094524","476","8601.9412","General Academic","High school","600 KINGSTON AVENUE","BROOKLYN","NY","11203","K","40.65866500000000","-73.94383800000000","[-73.943838,40.658665]",NULL,NULL,"0","73","0","0","0","0","0","0","0","0","0","0","164","140","83","89","18","4","71","15","21","26","3","1","410","86","60","13","0","0","212","45","264","56","96","52","54","35","37","67","4","4","8","31","32","60","17","18","33","35","37","7","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K545","EBC High School for Public Service?Bushwick","5860819","710","8254.6746","General Academic","High school","1155 DEKALB AVENUE","BROOKLYN","NY","11221","K","40.69473300000000","-73.92929500000000","[-73.929295,40.694733]",NULL,NULL,"0","93","0","0","0","0","0","0","0","0","0","0","171","178","175","186","103","14","71","10","35","25","9","1","78","11","612","86","6","1","357","50","353","50","150","91","61","44","29","48","19","13","21","25","17","28","47","31","52","45","30","11","7",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K546","High School for Public Service: Heroes of Tomorrow","2716520","387","7019.4315","General Academic","High school","600 KINGSTON AVENUE","BROOKLYN","NY","11203","K","40.65866500000000","-73.94383800000000","[-73.943838,40.658665]",NULL,NULL,"0","76","0","0","0","0","0","0","0","0","0","0","96","93","103","95","3","1","25","7","1","0","3","1","333","86","49","13","0","0","87","23","300","78","94","91","97","84","89","92","11","12","12","73","78","80","7","7","8","2","2","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K547","Brooklyn Academy of Science and the Environment","3908625","446","8763.7332","General Academic","High school","883 CLASSON AVENUE","BROOKLYN","NY","11225","K","40.66980600000000","-73.96066800000000","[-73.960668,40.669806]",NULL,NULL,"0","71","0","0","0","0","0","0","0","0","0","0","135","139","76","96","20","5","54","12","36","6","12","3","363","81","48","11","9","2","241","54","205","46","112","74","66","59","53","80","12","11","16","47","42","64","15","13","20","32","29","5","5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K548","Brooklyn School for Music & Theatre","3237390","411","7876.8613","General Academic","High school","883 CLASSON AVENUE","BROOKLYN","NY","11225","K","40.66980600000000","-73.96066800000000","[-73.960668,40.669806]",NULL,NULL,"0","77","0","0","0","0","0","0","0","0","0","0","126","101","82","102","3","1","44","11","41","0","3","1","349","85","51","12","3","1","126","31","285","69","98","80","82","57","58","71","13","13","16","44","45","55","23","24","29","15","15","3","3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K549","Bushwick School for Social Justice","3620943","420","8621.2929","General Academic","High school","400 IRVING AVENUE","BROOKLYN","NY","11237","K","40.69698250000000","-73.91082250000000","[-73.9108225,40.6969825]",NULL,NULL,"0","86","0","0","0","0","0","0","0","0","0","0","121","122","93","84","58","13","63","15","43","18","2","1","129","31","280","67","5","1","207","49","213","51","102","66","65","35","34","53","3","3","5","32","31","49","31","30","47","18","18","17","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"K552","Academy of Urban Planning","3925379","469","8369.6780","General Academic","High school","400 IRVING AVENUE","BROOKLYN","NY","11237","K","40.69698250000000","-73.91082250000000","[-73.9108225,40.6969825]",NULL,NULL,"0","74","0","0","0","0","0","0","0","0","0","0","148","143","97","81","72","15","79","17","26","39","5","1","163","35","292","62","8","2","231","49","238","51","106","63","59","24","23","38","1","1","2","23","22","37","39","37","62","27","26","13","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
