"DBN","School Name","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","FL Percent","FRL Percent","Pre-K Demographics","K Demographics","Grade 1 Demographics","Grade 2 Demographics","Grade 3 Demographics","Grade 4 Demographics","Grade 5 Demographics","Grade 6 Demographics","Grade 7 Demographics","Grade 8 Demographics","Grade 9 Demographics","Grade 10 Demographics","Grade 11 Demographics","Grade 12 Demographics","Number of English Language Learners","Percent of English Language Learners","Number of Special Education Students","Percent of Special Education Students","Number of Collaborative Team Teaching Students","Number of Self-Contained Classroom Students","Number of Asian Students","Percent of Asian Students","Number of Black Students","Percent of Black Students","Number of Hispanic Students","Percent of Hispanic Students","Number of White Students","Percent of White Students","Number of Male Students","Percent of Male Students","Number of Female Students","Percent of Female Students","Number of Students in Cohort","Number of Graduation Students in Cohort","Percent of Graduation Students in Cohort","Number of Regents in Cohort","Total Regents - % of cohort","Total Regents - % of grads","Advanced Regents - n","Advanced Regents - % of cohort","Advanced Regents - % of grads","Regents without Advanced - n","Regents without Advanced - % of cohort","Regents without Advanced - % of grads","Local - n","Local - % of cohort","Local - % of grads","Still Enrolled - n","Still Enrolled - % of cohort","Dropped Out - n","Dropped Out - % of cohort","Number of Students Tested for ELA","ELA Mean Scale Score","Number of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 1 in ELA","Number of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 2 in ELA","Number of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 3 in ELA","Number of Students Scoring Level 4 in ELA","Percent of Students Scoring Level 4 in ELA","Number of Students Tested for Math","Math Mean Scale Score","Number of Students Scoring Level 1 in Math","Percent of Students Scoring Level 1 in Math","Number of Students Scoring Level 2 in Math","Percent of Students Scoring Level 2 in Math","Number of Students Scoring Level 3 in Math","Percent of Students Scoring Level 3 in Math","Number of Students Scoring Level 4 in Math","Percent of Students Scoring Level 4 in Math"
"Q116","PS/IS 116 William C. Hughley","6983533","922","7574.3308","General Academic","K-8","107-25 WREN PLACE","QUEENS","NY","11433","Q","40.70045980000000","-73.78182910000000","[-73.7818291,40.7004598]","EMS","C","0","89","54","100","118","118","86","96","99","84","87","80","0","0","0","0","74","8","107","12","13","42","52","6","658","71","161","18","25","3","440","48","482","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"495","0","80","16","250","50","153","30","12","2","491","0","94","19","258","52","113","23","26","5"
"Q117","P.S. 117 J. Keld / Briarwood School","7991281","1176","6795.3070","General Academic","Elementary","85-15 143 STREET","QUEENS","NY","11435","Q","40.68581920000000","-73.80146810000000","[-73.8014681,40.6858192]","EMS","B","0","82","32","187","171","159","152","154","181","140","0","0","0","0","0","0","158","13","109","9","13","51","462","39","142","12","339","29","210","18","596","51","580","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"617","0","46","8","224","36","277","44","70","11","633","0","32","5","187","29","248","39","166","26"
"Q118","P.S. 118 Lorraine Hansberry","5838753","679","8599.0471","General Academic","Elementary","190-20 109 ROAD","QUEENS","NY","11412","Q","40.70356109999999","-73.76588950000000","[-73.7658895,40.70356109999999]","EMS","C","0","92","17","101","121","123","110","116","91","0","0","0","0","0","0","0","34","5","127","19","28","50","8","1","556","82","65","10","18","3","327","48","352","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"302","0","57","18","142","47","95","31","8","3","307","0","34","11","163","53","85","27","25","8"
"Q119","I.S. 119 The Glendale","6499889","1100","5908.9900","General Academic","Junior High-Intermediate-Middle","74-01 78 AVENUE","QUEENS","NY","11385","Q","40.70519800000000","-73.87503300000000","[-73.875033,40.705198]","EMS","C","0","61","0","0","0","0","0","0","0","291","411","398","0","0","0","0","55","5","148","14","67","43","135","12","18","2","437","40","507","46","582","53","518","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1082","0","87","8","388","35","485","44","122","11","1091","0","77","7","303","27","330","30","381","35"
"Q120","P.S. 120 Queens","6169838","845","7301.5834","General Academic","Elementary","58-01 136 STREET","QUEENS","NY","11355","Q","40.74559319999999","-73.82928319999999","[-73.82928319999999,40.74559319999999]","EMS","A","0","85","72","145","137","120","92","148","131","0","0","0","0","0","0","0","318","37","79","9","20","12","652","77","13","2","148","18","30","4","440","52","405","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"319","0","36","11","98","30","153","48","32","10","384","0","14","4","79","20","131","34","160","42"
"Q121","P.S. 121 Queens","6853358","1000","6853.3580","General Academic","Elementary","126-10 109 AVENUE","QUEENS","NY","11420","Q","40.68371300000000","-73.81552900000000","[-73.815529,40.683713]","EMS","A","0","85","33","128","142","134","165","127","140","131","0","0","0","0","0","0","35","4","111","11","49","21","562","56","262","26","117","12","43","4","534","53","466","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"562","0","30","5","198","35","282","50","52","9","563","0","15","3","73","13","236","41","239","43"
"Q122","P.S. 122 Mamie Fay","8448407","1396","6051.8675","General Academic","K-8","21-21 DITMARS BOULEVARD","QUEENS","NY","11105","Q","40.78051300000000","-73.91575800000000","[-73.915758,40.780513]","EMS","A","0","68","35","158","199","171","175","202","195","97","85","79","0","0","0","0","111","8","148","11","67","23","443","32","71","5","352","25","506","36","686","49","710","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"827","0","48","6","155","18","341","41","283","34","835","0","31","4","142","17","211","25","451","54"
"Q123","P.S. 123","5816038","648","8975.3673","General Academic","Elementary","145-01 119 AVENUE","QUEENS","NY","11436","Q","40.67890200000001","-73.79555490000000","[-73.7955549,40.67890200000001]","EMS","B","0","85","54","103","115","113","91","88","84","0","0","0","0","0","0","0","31","5","107","17","23","56","76","12","430","66","108","17","24","4","319","49","329","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"264","0","40","15","137","51","76","28","11","4","264","0","24","9","102","38","97","36","41","16"
"Q124","P.S. 124 Osmond A Church","7495222","1201","6240.8177","General Academic","K-8","129-15 150 AVENUE","QUEENS","NY","11420","Q","40.66515700000000","-73.81142560000000","[-73.8114256,40.665157]","EMS","C","0","85","0","126","132","152","176","136","142","130","110","97","0","0","0","0","20","2","78","7","38","3","496","41","365","30","255","21","28","2","578","48","623","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"771","0","41","5","276","35","379","49","75","10","773","0","28","4","196","25","314","40","235","30"
"Q125","I.S. 125 Thom J. McCann Woodside","10389731","1617","6425.3129","General Academic","Junior High-Intermediate-Middle","46-02 47 AVENUE","QUEENS","NY","11377","Q","40.74108740000000","-73.91861800000000","[-73.918618,40.7410874]","EMS","B","0","86","0","0","0","0","0","0","169","298","558","592","0","0","0","0","343","21","156","10","42","50","607","38","33","2","889","55","84","5","834","52","783","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1526","0","150","10","692","45","580","38","104","7","1574","0","51","3","410","26","601","38","512","33"
"Q126","Albert Shanker School for Visual and Performing Arts","5855404","625","9368.6464","General Academic","Junior High-Intermediate-Middle","31-51 21 STREET","QUEENS","NY","11106","Q","40.76630830000000","-73.93064550000000","[-73.9306455,40.7663083]","EMS","C","0","91","0","0","0","0","0","0","0","229","193","203","0","0","0","0","130","20","145","23","53","61","93","15","125","20","348","56","49","8","338","54","287","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"608","0","147","24","327","53","128","21","6","1","613","0","119","19","310","50","140","22","44","7"
"Q127","P.S. 127 Aerospace Science Magne","10068805","1277","7884.7338","General Academic","K-8","98-01 25 AVENUE","QUEENS","NY","11369","Q","40.76548100000000","-73.87089900000000","[-73.870899,40.765481]","EMS","B","0","88","70","168","146","150","145","131","144","112","103","108","0","0","0","0","376","29","144","11","46","63","110","9","245","19","873","68","38","3","667","52","610","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"689","0","97","14","357","51","211","30","24","4","704","0","72","10","306","43","232","33","94","13"
"Q128","P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School","3961469","545","7268.7505","General Academic","K-8","69-10 65th Drive","QUEENS","NY","11379","Q","40.71534430000000","-73.88633100000000","[-73.886331,40.7153443]","EMS","A","0","27","0","100","83","79","81","83","67","52","0","0","0","0","0","0","23","4","79","15","0","15","31","6","4","1","95","17","409","75","280","51","265","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"274","0","5","2","56","20","147","53","66","24","279","0","2","1","33","11","87","31","157","56"
"Q129","P.S. 129 Patricia Larkin","6984104","947","7374.9778","General Academic","Elementary","128-02 7 AVENUE","QUEENS","NY","11356","Q","40.78992900000000","-73.83950100000000","[-73.839501,40.789929]","EMS","B","0","73","86","147","176","141","133","132","132","0","0","0","0","0","0","0","160","16","108","11","58","19","281","30","22","2","425","45","211","22","443","47","504","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"396","0","15","4","136","34","205","51","40","10","403","0","4","1","78","19","183","45","138","34"
"Q130","P.S. 130","2743314","307","8935.8762","General Academic","Elementary","200-01 42 AVENUE","QUEENS","NY","11361","Q","40.76021990000000","-73.78399800000000","[-73.783998,40.7602199]","EC","A","0","41","0","115","68","63","61","0","0","0","0","0","0","0","0","0","55","17","38","12","25","1","209","68","5","2","35","11","54","18","162","53","145","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"60","0","0","0","2","3","30","50","28","46","60","0","0","0","0","0","14","25","46","77"
"Q131","P.S. 131 Abigail Adams","5831021","774","7533.6189","General Academic","Elementary","170-45 84 AVENUE","QUEENS","NY","11432","Q","40.71609560000000","-73.79380800000000","[-73.793808,40.7160956]","EMS","B","0","87","0","123","139","120","146","137","109","0","0","0","0","0","0","0","198","25","64","8","10","19","537","69","94","12","69","9","68","9","399","52","375","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"387","0","30","8","127","32","173","44","57","14","404","0","15","4","82","20","150","37","157","39"
"Q132","P.S. 132 Ralph Bunche","3220837","395","8154.0177","General Academic","Elementary","132-15 218 STREET","QUEENS","NY","11413","Q","40.68209730000000","-73.74991899999999","[-73.74991899999999,40.6820973]","EMS","C","0","69","53","48","54","50","58","81","51","0","0","0","0","0","0","0","2","1","48","12","8","21","1","0","371","94","13","3","2","1","185","47","210","53",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"182","0","16","9","72","39","87","47","7","4","182","0","14","8","78","42","72","39","18","10"
"Q133","P.S. 133 Queens","4702758","488","9636.7992","General Academic","Elementary","248-05 86 AVENUE","QUEENS","NY","11426","Q","40.73172810000000","-73.71794679999999","[-73.71794679999999,40.7317281]","EMS","A","0","53","25","61","75","90","79","79","79","0","0","0","0","0","0","0","38","8","91","19","24","29","264","54","33","7","93","19","85","17","280","57","208","43",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"235","0","12","5","47","20","142","60","34","14","237","0","3","1","13","6","90","38","131","55"
"Q134","P.S. 134 Hollis","5072345","509","9965.3143","General Academic","Elementary","203-02 109 AVENUE","QUEENS","NY","11412","Q","40.70798840000000","-73.75522920000000","[-73.7552292,40.7079884]","EMS","B","0","79","35","64","81","75","77","99","78","0","0","0","0","0","0","0","49","10","95","19","26","55","18","4","427","84","37","7","14","3","265","52","244","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"214","0","41","19","100","46","63","29","10","5","222","0","18","8","105","47","66","29","33","15"
"Q135","The Bellaire School","9065158","1163","7794.6328","General Academic","Elementary","207-11 89 AVENUE","QUEENS","NY","11427","Q","40.72084900000000","-73.75759500000000","[-73.757595,40.720849]","EMS","C","0","81","0","171","175","189","209","212","207","0","0","0","0","0","0","0","134","11","141","12","58","49","429","37","392","34","245","21","46","4","606","52","557","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"600","0","53","9","255","42","233","38","59","10","611","0","29","5","232","38","227","37","123","20"
"Q136","P.S. 136 Roy Wilkins","5664530","719","7878.3449","General Academic","Elementary","201-15 115 AVENUE","QUEENS","NY","11412","Q","40.69893600000000","-73.75269100000000","[-73.752691,40.698936]","EMS","B","0","70","36","92","132","123","102","121","113","0","0","0","0","0","0","0","28","4","100","14","4","45","5","1","653","91","34","5","15","2","333","46","386","54",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"343","0","80","23","184","53","72","21","7","2","348","0","35","10","182","52","110","31","21","6"
"Q137","M.S. 137 America's School of Heroes","11451204","1923","5954.8643","General Academic","Junior High-Intermediate-Middle","109-15 98 STREET","QUEENS","NY","11417","Q","40.67810700000000","-73.83939000000000","[-73.83939,40.678107]","EMS","B","0","89","0","0","0","0","0","0","0","598","649","676","0","0","0","0","156","8","225","12","76","73","1038","54","162","8","669","35","46","2","1013","53","910","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1887","0","165","9","829","43","796","42","97","5","1923","0","88","5","576","30","656","34","603","31"
"Q138","P.S./ M.S.138 Sunrise","7180483","906","7925.4779","General Academic","K-8","251-11 WELLER AVENUE","QUEENS","NY","11422","Q","40.65987000000000","-73.73434300000000","[-73.734343,40.65987]","EMS","C","0","80","18","68","88","85","81","88","113","116","143","106","0","0","0","0","26","3","107","12","13","55","14","2","792","87","65","7","14","2","480","53","426","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"643","0","81","12","328","51","214","33","20","3","647","0","80","12","308","47","198","30","61","9"
"Q139","P.S. 139 Rego Park","5458734","880","6203.1068","General Academic","Elementary","93-06 63 DRIVE","QUEENS","NY","11374","Q","40.72799500000000","-73.86255100000000","[-73.862551,40.727995]","EMS","C","0","61","0","154","152","121","136","116","111","90","0","0","0","0","0","0","150","17","89","10","20","26","295","34","28","3","221","25","331","38","463","53","417","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"429","0","27","6","135","31","197","45","70","16","444","0","17","4","87","19","174","39","166","37"
"Q140","P.S. 140 Edward K Ellington","6230558","790","7886.7823","General Academic","Elementary","166-01 116 AVENUE","QUEENS","NY","11434","Q","40.68748000000001","-73.78124900000000","[-73.781249,40.68748000000001]","EMS","C","0","82","36","98","115","116","114","122","95","94","0","0","0","0","0","0","28","4","147","19","0","83","7","1","669","85","92","12","16","2","401","51","389","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"409","0","69","16","208","50","111","27","21","5","411","0","41","10","221","53","106","25","43","11"
"Q141","I.S. 141 The Steinway","6524355","996","6550.5572","General Academic","Junior High-Intermediate-Middle","37-11 21 AVENUE","QUEENS","NY","11105","Q","40.77576600000000","-73.90450299999999","[-73.90450299999999,40.775766]","EMS","A","0","80","0","0","0","0","0","0","0","325","320","351","0","0","0","0","92","9","132","13","48","30","229","23","50","5","420","42","295","30","542","54","454","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"976","0","71","7","420","43","401","41","84","9","981","0","30","3","201","20","346","35","404","41"
"Q143","P.S. 143 Louis Armstrong","10403459","1424","7305.7999","General Academic","Elementary","34-74 113 STREET","QUEENS","NY","11368","Q","40.75539800000000","-73.85570600000000","[-73.855706,40.755398]","EMS","C","0","93","0","284","252","259","226","209","194","0","0","0","0","0","0","0","562","39","138","10","30","46","83","6","31","2","1280","90","21","2","750","53","674","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"614","0","87","14","261","42","208","33","58","9","625","0","33","5","198","31","246","39","148","24"
"Q144","P.S. 144 Col Jeromus Remsen","6294920","697","9031.4491","General Academic","Elementary","93-02 69 AVENUE","QUEENS","NY","11375","Q","40.71486300000000","-73.85238690000000","[-73.8523869,40.714863]","EMS","B","0","31","36","102","97","94","104","96","81","87","0","0","0","0","0","0","42","6","123","18","35","53","259","37","43","6","98","14","278","40","353","51","344","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"357","0","30","8","92","25","162","45","73","20","362","0","18","5","61","16","113","31","170","47"
"Q145","I.S. 145 Joseph Pulitzer","13293385","1961","6778.8807","General Academic","Junior High-Intermediate-Middle","33-34 80 STREET","QUEENS","NY","11372","Q","40.75439000000000","-73.88751200000000","[-73.887512,40.75439]","EMS","B","0","88","0","0","0","0","0","0","0","643","685","633","0","0","0","0","485","24","212","11","67","49","173","9","46","2","1703","87","34","2","959","49","1002","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1871","0","235","12","963","51","622","33","51","3","1927","0","116","6","768","39","667","34","376","20"
"Q146","P.S. 146 Howard Beach","6299696","702","8973.9259","General Academic","K-8","98-01 159 AVENUE","QUEENS","NY","11414","Q","40.65986570000000","-73.83515640000000","[-73.8351564,40.6598657]","EMS","B","0","53","35","86","66","98","84","92","84","68","53","36","0","0","0","0","24","3","160","23","88","24","24","3","30","4","186","27","447","64","393","56","309","44",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"418","0","29","7","173","41","186","44","30","7","418","0","15","4","140","33","178","42","85","20"
"Q147","PS/MS 147 Ronald McNair","6497437","861","7546.3844","General Academic","K-8","218-01 116 AVENUE","QUEENS","NY","11411","Q","40.69802600000000","-73.74015100000000","[-73.740151,40.698026]","EMS","D","0","88","18","82","91","93","82","87","90","96","96","126","0","0","0","0","33","4","61","7","10","29","9","1","787","91","33","4","17","2","436","51","425","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"587","0","82","14","336","57","160","27","9","2","592","0","74","12","333","56","137","23","48","8"
"Q148","P.S. 148 Queens","8408900","1147","7331.2119","General Academic","Elementary","89-02 32 AVENUE","QUEENS","NY","11369","Q","40.75762790000000","-73.87861900000000","[-73.878619,40.7576279]","EMS","B","0","87","68","162","184","190","185","186","172","0","0","0","0","0","0","0","321","28","152","13","45","28","129","11","32","3","940","82","43","4","556","49","591","52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"520","0","60","11","261","50","178","34","21","4","531","0","23","4","209","39","202","38","97","18"
"Q149","P.S. 149 Christa Mcauliffe","8939074","1177","7594.7952","General Academic","Elementary","93-11 34 AVENUE","QUEENS","NY","11372","Q","40.75491100000000","-73.87430479999999","[-73.87430479999999,40.754911]","EMS","B","0","95","0","174","197","173","213","216","204","0","0","0","0","0","0","0","592","50","103","9","60","13","125","11","14","1","980","83","48","4","582","49","595","51",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"612","0","64","10","224","36","272","44","52","9","642","0","38","6","185","28","257","40","162","25"
"Q150","P.S. 150 Queens","9492577","1244","7630.6889","General Academic","Elementary","40-01 43 AVENUE","QUEENS","NY","11104","Q","40.74574710000000","-73.92332019999999","[-73.92332019999999,40.7457471]","EMS","B","0","81","94","165","174","178","176","180","157","120","0","0","0","0","0","0","322","25","154","12","95","25","412","33","29","2","574","46","208","17","665","54","579","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"605","0","45","7","194","32","280","46","86","14","617","0","25","4","124","20","206","33","262","43"
"Q151","P.S. 151 Mary D. Carter","6460823","605","10679.0463","General Academic","Elementary","50-05 31 AVENUE","QUEENS","NY","11377","Q","40.75763380000000","-73.90839980000000","[-73.9083998,40.7576338]","EMS","C","0","90","64","94","106","88","104","68","81","0","0","0","0","0","0","0","139","23","109","18","32","65","119","20","79","13","301","50","95","16","328","54","277","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"232","0","54","23","97","41","67","28","14","6","234","0","40","17","94","40","67","28","33","14"
"Q152","P.S. 152 Gwendoline N. Alleyne School","9553678","1305","7320.8261","General Academic","Elementary","33-52 62 STREET","QUEENS","NY","11377","Q","40.75260600000000","-73.90031400000000","[-73.900314,40.752606]","EMS","A","0","87","62","206","232","192","172","200","189","52","0","0","0","0","0","0","511","39","100","8","53","16","668","51","10","1","578","44","47","4","679","52","626","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"589","0","63","10","195","33","263","44","68","11","611","0","29","5","171","28","209","34","202","33"
"Q153","P.S. 153 Maspeth Elem","9688749","1413","6856.8641","General Academic","Elementary","60-02 60 LANE","QUEENS","NY","11378","Q","40.71628800000000","-73.90446700000000","[-73.904467,40.716288]","EMS","A","0","63","59","196","192","179","219","204","189","175","0","0","0","0","0","0","184","13","186","13","46","59","101","7","16","1","680","48","589","42","706","50","707","50",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"756","0","80","10","298","39","308","40","70","9","767","0","40","5","199","25","285","37","243","32"
"Q154","P.S. 154 Queens","4925265","632","7793.1408","General Academic","Elementary","75-02 162 STREET","QUEENS","NY","11366","Q","40.72667280000000","-73.80706450000000","[-73.8070645,40.7266728]","EMS","C","0","79","36","110","98","112","90","92","94","0","0","0","0","0","0","0","137","21","71","11","0","24","329","52","72","11","138","22","82","13","334","53","298","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"274","0","16","6","99","36","142","51","17","6","280","0","4","1","63","22","124","44","89","32"
"Q155","P.S. 155","5513199","638","8641.3777","General Academic","Elementary","130-02 115 AVENUE","QUEENS","NY","11420","Q","40.67953980000000","-73.81065470000000","[-73.8106547,40.6795398]","EMS","C","0","95","71","105","92","95","88","87","100","0","0","0","0","0","0","0","55","9","70","11","19","26","230","36","226","35","153","24","12","2","323","51","315","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"266","0","37","13","117","44","101","38","11","4","265","0","22","8","109","41","101","38","33","13"
"Q156","P.S. 156 Laurelton","6468777","803","8055.7621","General Academic","K-8","229-02 137 AVENUE","QUEENS","NY","11413","Q","40.67223500000000","-73.74333399999999","[-73.74333399999999,40.672235]","EMS","C","0","59","0","53","89","77","87","92","101","101","104","99","0","0","0","0","22","3","122","15","16","66","2","0","739","92","34","4","11","1","431","54","372","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"577","0","69","12","281","48","202","35","25","4","583","0","75","12","291","49","173","29","44","8"
"Q157","J.H.S. 157 Stephen A. Halsey","8834566","1076","8210.5632","General Academic","Junior High-Intermediate-Middle","63-55 102ND STREET","QUEENS","NY","11374","Q","40.73234750000000","-73.85384450000000","[-73.8538445,40.7323475]","EMS","A","0","61","0","0","0","0","0","0","0","320","327","311","118","0","0","0","134","12","241","22","44","112","244","23","144","13","271","25","408","38","585","54","491","46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"897","0","83","9","309","34","379","42","126","14","925","0","60","7","246","26","262","28","357","39"
"Q158","M.S. 158 Marie Curie","6770424","1055","6417.4635","General Academic","Junior High-Intermediate-Middle","46-35 OCEANIA STREET","QUEENS","NY","11361","Q","40.75626860000000","-73.77291970000000","[-73.7729197,40.7562686]","EMS","B","0","42","0","0","0","0","0","0","0","330","362","363","0","0","0","0","68","6","127","12","30","32","607","58","71","7","145","14","231","22","546","52","509","48",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1013","0","31","3","242","23","546","53","194","19","1046","0","19","2","183","17","347","33","497","48"
"Q159","P.S. 159","4664660","544","8574.7426","General Academic","Elementary","205-01 33 AVENUE","QUEENS","NY","11361","Q","40.77009200000000","-73.78397690000000","[-73.7839769,40.770092]","EMS","A","0","44","45","82","96","78","70","99","74","0","0","0","0","0","0","0","59","10","101","19","4","23","256","47","9","2","66","12","201","37","291","54","253","47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"231","0","4","2","31","13","136","58","60","26","235","0","0","0","18","8","91","38","126","54"
"Q160","P.S. 160 Walter Francis Bishop","6552686","777","8433.3153","General Academic","Elementary","109-59 INWOOD STREET","QUEENS","NY","11435","Q","40.68814530000000","-73.80046560000000","[-73.8004656,40.6881453]","EMS","B","0","92","54","111","102","117","103","97","104","89","0","0","0","0","0","0","54","7","151","19","41","35","61","8","515","66","131","17","26","3","396","51","381","49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"385","0","62","16","184","47","126","32","13","3","387","0","31","8","181","46","136","35","39","10"
