"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"Antonia Pantoja Preparatory Academy: A College Board School","X376","2264067","284","7972.0669","General Academic","Intermediate","1980 LAFAYETTE AVENUE","BRONX","NY","10473","X","40.82232550000000","-73.85595690000000","[-73.8559569,40.8223255]","EMS","C",,,,,,,,,,,"2.151","14","57","27","1","2.404","13","45","29","12"
"Archimedes Academy for Math, Science and Technology Applications","X367","3071628","307","10005.3029","General Academic","Intermediate","456 WHITE PLAINS ROAD","BRONX","NY","10473","X","40.81500490000000","-73.85631149999999","[-73.85631149999999,40.8150049]","EMS","C",,,,,,,,,,,"2.050","17","61","20","1","2.030","24","51","19","4"
"Art and Design High School","M630","9262040","1387","6677.7505","Career Technical","High School","231-249 EAST 56 STREET","MANHATTAN","NY","10019","M","40.76580580000000","-73.98274870000000","[-73.9827487,40.7658058]",,,"307","65","52","79","6","9","46","71","28","4",,,,,,,,,,
"Arts & Media Preparatory Academy","K589","1853444","208","8910.7885","General Academic","High School","905 WINTHROP STREET","BROOKLYN","NY","11203","K","40.65843380000000","-73.92911010000000","[-73.9291101,40.6584338]",,,,,,,,,,,,,,,,,,,,,,
"Aspirations Diploma Plus High School","K646","2251083","272","8276.0404","Transfer School","High School","1495 HERKIMER STREET","BROOKLYN","NY","11233","K","40.67750700000000","-73.90415000000000","[-73.90415,40.677507]","HST","F","53","6","4","67","0","0","4","67","85","8",,,,,,,,,,
"Aspire Preparatory Middle School","X322","3967256","554","7161.1119","General Academic","Intermediate","2441 WALLACE AVENUE","BRONX","NY","10467","X","40.86206019999999","-73.86458840000000","[-73.8645884,40.86206019999999]","EMS","C",,,,,,,,,,,"2.141","16","55","26","2","2.404","16","42","26","15"
"Astor Collegiate Academy","X299","3450807","471","7326.5541","General Academic","High School","925 ASTOR AVENUE","BRONX","NY","10469","X","40.85964000000000","-73.86074280000000","[-73.8607428,40.85964]",,,"95","74","36","49","4","6","32","43","21","4",,,,,,,,,,
"August Martin High School","Q400","9796683","1222","8016.9255","General Academic","High School","156-10 BAISLEY BOULEVARD","QUEENS","NY","11434","Q","40.67489260000000","-73.78317810000000","[-73.7831781,40.6748926]",,,"388","48","21","43","1","2","20","41","24","22",,,,,,,,,,
"Automotive High School","K610","8387132","982","8540.8676","Career Technical","High School","50 BEDFORD AVENUE","BROOKLYN","NY","11222","K","40.72224860000000","-73.95328190000000","[-73.9532819,40.7222486]",,,"215","54","24","44","0","0","24","44","27","12",,,,,,,,,,
"Aviation Career & Technical Education High School","Q610","14555169","2097","6940.9485","Career Technical","High School","45-30 36 STREET","QUEENS","NY","11101","Q","40.74413620000000","-73.92930330000000","[-73.9293033,40.7441362]",,,"459","62","56","90","23","37","33","53","36","2",,,,,,,,,,
"Baccalaureate School for Global Education","Q580","3052964","424","7200.3868","General Academic","Secondary School","34-12 36 AVENUE","QUEENS","NY","11106","Q","40.75504300000000","-73.92674400000000","[-73.926744,40.755043]","EMS","B","65","99","95","97","35","36","60","61","2","0","3.323","0","5","57","37","3.510","0","3","43","54"
"Ballet Tech, NYC Public School for Dance","M442","1170767","144","8130.3264","General Academic","K-12","890 BROADWAY","MANHATTAN","NY","10003","M","40.73841400000000","-73.98940200000000","[-73.989402,40.738414]","EMS","C","3","0","0","0","0","0","0","0","0","0","2.704","4","31","53","10","3.242","1","15","42","41"
