"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"P.S. 044 Thomas C. Brown","R044","9080132","879","10330.0705","General Academic","Elementary","80 MAPLE PARKWAY","STATEN ISLAND","NY","10303","R","40.63167600000000","-74.15732299999999","[-74.15732299999999,40.631676]","EMS","C",,,,,,,,,,,"1.959","28","49","20","2","2.050","23","52","20","4"
"P.S. 045 Clarence Witherspoon","Q045","4181767","445","9397.2292","General Academic","Elementary","126-28 150 STREET","QUEENS","NY","11436","Q","40.67230700000000","-73.78825030000000","[-73.7882503,40.672307]","EMS","B",,,,,,,,,,,"2.454","8","43","43","5","2.828","6","31","36","26"
"P.S. 045 Horace E. Greene","K045","7014491","763","9193.3041","General Academic","Elementary","84 SCHAEFER STREET","BROOKLYN","NY","11207","K","40.68639000000000","-73.91045199999999","[-73.91045199999999,40.68639]","EMS","A",,,,,,,,,,,"2.420","10","46","36","8","2.585","6","42","38","13"
"P.S. 045 John Tyler","R045","6774570","1004","6747.5797","General Academic","Elementary","58 LAWRENCE AVENUE","STATEN ISLAND","NY","10310","R","40.62866169999999","-74.10718550000000","[-74.1071855,40.62866169999999]","EMS","C",,,,,,,,,,,"2.313","14","45","35","5","2.676","7","37","36","19"
"P.S. 046 Albert V. Maniscalco","R046","3317716","306","10842.2092","General Academic","Elementary","41 REID AVENUE","STATEN ISLAND","NY","10305","R","40.59376400000000","-74.08063840000001","[-74.08063840000001,40.593764]","EMS","D",,,,,,,,,,,"2.353","14","42","37","6","2.737","10","29","37","23"
"P.S. 046 Alley Pond","Q046","6594963","467","14121.9764","General Academic","Elementary","64-45 218 STREET","QUEENS","NY","11364","Q","40.74572600000000","-73.75804699999999","[-73.75804699999999,40.745726]","EMS","A",,,,,,,,,,,"3.020","2","19","53","25","3.602","0","4","31","63"
"P.S. 046 Arthur Tappan","M046","6359142","724","8783.3453","General Academic","Elementary","2987 FREDERICK DGLS BLVD","MANHATTAN","NY","10039","M","40.83173920000000","-73.93551980000000","[-73.9355198,40.8317392]","EMS","C",,,,,,,,,,,"2.142","19","48","29","2","2.449","12","42","32","12"
"P.S. 046 Edgar Allan Poe","X046","10828457","1291","8387.6507","General Academic","Elementary","279 EAST 196 STREET","BRONX","NY","10458","X","40.86678310000000","-73.89052260000000","[-73.8905226,40.8667831]","EMS","C",,,,,,,,,,,"2.101","25","43","27","4","2.363","14","45","30","10"
"P.S. 046 Edward C. Blum","K046","4096401","375","10923.7360","General Academic","Elementary","100 CLERMONT AVENUE","BROOKLYN","NY","11205","K","40.69451400000000","-73.97164200000000","[-73.971642,40.694514]","EMS","A",,,,,,,,,,,"2.163","18","48","30","2","2.393","13","41","38","7"
"P.S. 047 Chris Galas","Q047","2570843","243","10579.6008","General Academic","K-8","9 POWER ROAD","QUEENS","NY","11693","Q","40.60672500000000","-73.82017890000000","[-73.8201789,40.606725]","EMS","A",,,,,,,,,,,"2.909","1","23","59","16","3.373","0","12","38","49"
"P.S. 047 John Randolph","X047","9113318","1112","8195.4299","General Academic","Elementary","1794 EAST 172 STREET","BRONX","NY","10472","X","40.83252490000000","-73.86698190000000","[-73.8669819,40.8325249]","EMS","C",,,,,,,,,,,"2.212","19","45","30","5","2.490","10","42","37","11"
"P.S. 048 Joseph R. Drake","X048","8497137","913","9306.8313","General Academic","Elementary","1290 SPOFFORD AVENUE","BRONX","NY","10474","X","40.81439049999999","-73.88687519999999","[-73.88687519999999,40.81439049999999]","EMS","B",,,,,,,,,,,"2.222","16","49","30","4","2.454","11","42","36","10"
"P.S. 048 Mapleton","K048","5127712","654","7840.5382","General Academic","Elementary","6015 18 AVENUE","BROOKLYN","NY","11204","K","40.62165239999999","-73.98760770000000","[-73.9876077,40.62165239999999]","EMS","B",,,,,,,,,,,"2.581","8","35","45","10","3.131","5","19","33","42"
"P.S. 048 P.O. Michael J. Buczek","M048","5945745","608","9779.1859","General Academic","Elementary","4360-78 BROADWAY","MANHATTAN","NY","10033","M","40.85341640000000","-73.93406900000000","[-73.934069,40.8534164]","EMS","B",,,,,,,,,,,"2.120","21","50","25","4","2.484","10","43","34","12"
"P.S. 048 William C. Wilcox","R048","3288947","500","6577.8940","General Academic","Elementary","1050 Targee Street","Staten Island","NY","10304","R","40.60302600000000","-74.09196700000000","[-74.091967,40.603026]","EMS","B",,,,,,,,,,,"3.070","1","17","55","26","3.390","2","9","37","52"
"P.S. 048 William Wordsworth","Q048","3325421","377","8820.7454","General Academic","Elementary","108-29 155 STREET","QUEENS","NY","11433","Q","40.69358930000000","-73.79677090000000","[-73.7967709,40.6935893]","EMS","C",,,,,,,,,,,"2.141","21","47","27","4","2.357","15","48","20","15"
"P.S. 049 Dorothy Bonawit Kole","Q049","4472343","708","6316.8686","General Academic","K-8","63-60 80th Street","QUEENS","NY","11379","Q","40.71180140000000","-73.87123460000000","[-73.8712346,40.7118014]","EMS","C",,,,,,,,,,,"2.800","5","24","57","14","3.131","3","18","41","37"
"P.S. 049 Willis Avenue","X049","7239937","652","11104.1979","General Academic","Elementary","383 EAST 139 STREET","BRONX","NY","10454","X","40.81041000000000","-73.92271600000000","[-73.922716,40.81041]","EMS","C",,,,,,,,,,,"2.121","20","50","26","3","2.590","5","47","32","16"
"P.S. 050 Clara Barton","X050","6578200","573","11480.2792","General Academic","Elementary","1550 VYSE AVENUE","BRONX","NY","10460","X","40.83416700000000","-73.88697100000000","[-73.886971,40.834167]","EMS","D",,,,,,,,,,,"1.878","38","39","18","4","2.191","23","46","18","12"
"P.S. 050 Frank Hankinson","R050","5719552","666","8587.9159","General Academic","Elementary","200 ADELAIDE AVENUE","STATEN ISLAND","NY","10306","R","40.56092300000000","-74.12424000000000","[-74.12424,40.560923]","EMS","B",,,,,,,,,,,"2.877","5","25","45","23","3.121","3","22","34","40"
"P.S. 050 Talfourd Lawn Elementary School","Q050","6655457","919","7242.0642","General Academic","Elementary","143-26 101 AVENUE","QUEENS","NY","11435","Q","40.69485400000000","-73.80683700000000","[-73.806837,40.694854]","EMS","B",,,,,,,,,,,"2.505","10","39","40","10","2.838","3","36","34","26"
"P.S. 050 Vito Marcantonio","M050","5531839","438","12629.7694","General Academic","K-8","433 EAST 100 STREET","MANHATTAN","NY","10029","M","40.78509360000000","-73.94108640000000","[-73.9410864,40.7850936]","EMS","C",,,,,,,,,,,"1.959","23","56","19","0","2.220","12","59","24","5"
"P.S. 051","Q051","2468270","250","9873.0800","General Academic","Early Childhood","87-45 117 STREET","QUEENS","NY","11418","Q","40.69821040000000","-73.83194900000000","[-73.831949,40.6982104]",,,,,,,,,,,,,,,,,,,,,,
"P.S. 051 Bronx New School","X051","2667246","280","9525.8786","General Academic","Elementary","695 EAST 182ND STREET","BRONX","NY","10457","X","40.85069150000000","-73.88659799999999","[-73.88659799999999,40.8506915]","EMS","B",,,,,,,,,,,"2.520","10","37","41","10","2.565","8","45","28","18"
"P.S. 051 Elias Howe","M051","3061327","324","9448.5401","General Academic","Elementary","323 EAST 91 STREET","MANHATTAN","NY","10128","M","40.78065300000000","-73.94785399999999","[-73.94785399999999,40.780653]","EMS","B",,,,,,,,,,,"2.656","5","35","48","11","3.050","5","20","40","35"
"P.S. 052 John C. Thompson","R052","6839129","668","10238.2171","General Academic","Elementary","450 BUEL AVENUE","STATEN ISLAND","NY","10305","R","40.58255200000000","-74.08901200000000","[-74.089012,40.582552]","EMS","C",,,,,,,,,,,"2.540","11","33","44","10","2.960","5","24","41","30"
"P.S. 052 Queens","Q052","5151700","557","9249.0126","General Academic","Elementary","178-37 146 TERRACE","QUEENS","NY","11434","Q","40.66090800000000","-73.76545589999999","[-73.76545589999999,40.660908]","EMS","A",,,,,,,,,,,"2.454","10","43","37","9","2.505","11","41","33","14"
"P.S. 052 Sheepshead Bay","K052","7545666","759","9941.5889","General Academic","Elementary","2675 EAST 29 STREET","BROOKLYN","NY","11235","K","40.58796640000001","-73.94054720000000","[-73.9405472,40.58796640000001]","EMS","B",,,,,,,,,,,"2.444","13","40","35","11","2.878","5","28","40","26"
"P.S. 053 Basheer Quisim","X053","10871257","1368","7946.8253","General Academic","Elementary","360 EAST 168 STREET","BRONX","NY","10456","X","40.83256500000000","-73.91046720000000","[-73.9104672,40.832565]","EMS","C",,,,,,,,,,,"2.242","17","48","27","7","2.500","10","46","25","17"
"P.S. 053 Bay Terrace","R053","6249627","713","8765.2553","General Academic","Elementary","330 DURANT AVENUE","STATEN ISLAND","NY","10308","R","40.55254040000000","-74.13703880000000","[-74.1370388,40.5525404]","EMS","B",,,,,,,,,,,"2.767","6","27","50","16","3.160","2","18","42","38"
"P.S. 054 Charles W. Leng","R054","7073072","892","7929.4529","General Academic","Elementary","1060 WILLOWBROOK ROAD","STATEN ISLAND","NY","10314","R","40.60274290000000","-74.13743900000000","[-74.137439,40.6027429]","EMS","C",,,,,,,,,,,"2.757","7","26","50","16","3.020","4","24","38","34"
"P.S. 054 Hillside","Q054","5226474","571","9153.1944","General Academic","Elementary","86-02 127 STREET","QUEENS","NY","11418","Q","40.70264600000000","-73.82463000000000","[-73.82463,40.702646]","EMS","C",,,,,,,,,,,"2.377","16","39","33","10","2.444","13","40","35","11"
"P.S. 054 Samuel C. Barnes","K054","3633890","283","12840.6007","General Academic","Elementary","195 SANFORD STREET","BROOKLYN","NY","11205","K","40.69261950000000","-73.95281890000000","[-73.9528189,40.6926195]","EMS","C",,,,,,,,,,,"2.224","18","43","34","3","2.295","14","47","31","6"
"P.S. 055 Benjamin Franklin","X055","7437455","709","10490.0635","General Academic","Elementary","450 SAINT PAUL'S PLACE","BRONX","NY","10456","X","40.83591100000000","-73.90499299999999","[-73.90499299999999,40.835911]","EMS","C",,,,,,,,,,,"1.890","30","52","17","1","2.252","17","47","28","7"
"P.S. 055 Henry M. Boehm","R055","5841713","703","8309.6913","General Academic","Elementary","54 OSBORNE STREET","STATEN ISLAND","NY","10312","R","40.53662200000000","-74.16306100000000","[-74.163061,40.536622]","EMS","C",,,,,,,,,,,"2.765","4","30","49","15","3.111","1","21","43","34"
"P.S. 055 Maure","Q055","5899132","734","8036.9646","General Academic","Elementary","131-10 97 AVENUE","QUEENS","NY","11419","Q","40.69360000000000","-73.81614700000000","[-73.816147,40.6936]","EMS","C",,,,,,,,,,,"2.313","15","43","36","5","2.663","10","31","39","18"
"P.S. 056 Harry Eichler","Q056","3796589","452","8399.5332","General Academic","Elementary","86-10 114 STREET","QUEENS","NY","11418","Q","40.69911980000000","-73.83527579999999","[-73.83527579999999,40.6991198]","EMS","B",,,,,,,,,,,"2.656","11","28","44","16","3.060","8","19","31","41"
"P.S. 056 Lewis H. Latimer","K056","4096117","296","13838.2331","General Academic","Elementary","170 GATES AVENUE","BROOKLYN","NY","11238","K","40.68503580000000","-73.96073190000000","[-73.9607319,40.6850358]","EMS","B",,,,,,,,,,,"2.295","16","43","33","6","2.561","10","41","29","18"
"P.S. 056 Norwood Heights","X056","4784860","575","8321.4957","General Academic","Elementary","341 EAST 207 STREET","BRONX","NY","10467","X","40.87548100000000","-73.87488900000000","[-73.874889,40.875481]","EMS","A",,,,,,,,,,,"2.323","17","39","37","6","2.636","10","35","35","19"
"P.S. 057 Crescent","X057","4750876","479","9918.3215","General Academic","Elementary","2111 CROTONA AVENUE","BRONX","NY","10457","X","40.84861590000000","-73.88844490000000","[-73.8884449,40.8486159]","EMS","B",,,,,,,,,,,"2.343","15","44","31","9","2.653","10","33","36","19"
"P.S. 057 Hubert H. Humphrey","R057","7922925","639","12398.9437","General Academic","Elementary","140 PALMA DRIVE","STATEN ISLAND","NY","10304","R","40.61116000000000","-74.08378700000000","[-74.083787,40.61116]","EMS","A",,,,,,,,,,,"2.061","27","41","27","3","2.313","15","49","24","11"
"P.S. 058","X058","5402985","547","9877.4863","General Academic","Elementary","459 EAST 176 STREET","BRONX","NY","10457","X","40.84617739999999","-73.89907900000000","[-73.899079,40.84617739999999]","EMS","C",,,,,,,,,,,"2.010","26","48","23","2","2.292","14","50","27","8"
"P.S. 058 The Carroll","K058","6127972","707","8667.5700","General Academic","Elementary","330 SMITH STREET","BROOKLYN","NY","11231","K","40.68015700000001","-73.99492900000000","[-73.994929,40.68015700000001]","EMS","A",,,,,,,,,,,"2.798","8","25","45","21","3.070","4","20","40","35"
"P.S. 059 Beekman Hill International","M059","3718574","480","7747.0292","General Academic","Elementary","231-249 EAST 56 STREET","MANHATTAN","NY","10019","M","40.76580580000000","-73.98274870000000","[-73.9827487,40.7658058]","EMS","B",,,,,,,,,,,"2.798","7","23","52","17","3.310","1","14","38","47"
"P.S. 059 The Community School of Technology","X059","6960098","558","12473.2939","General Academic","Elementary","2185 BATHGATE AVENUE","BRONX","NY","10457","X","40.85272920000000","-73.89357120000000","[-73.8935712,40.8527292]","EMS","B",,,,,,,,,,,"2.180","20","48","26","6","2.380","10","50","32","8"
"P.S. 059 William Floyd","K059","4380875","463","9461.9330","General Academic","Elementary","211 THROOP AVENUE","BROOKLYN","NY","11206","K","40.69761700000001","-73.94330099999999","[-73.94330099999999,40.69761700000001]","EMS","C",,,,,,,,,,,"1.848","29","57","12","1","2.090","21","50","26","2"
"P.S. 060 Alice Austen","R060","8815559","916","9623.9727","General Academic","Elementary","55 MERRILL AVENUE","STATEN ISLAND","NY","10314","R","40.61060600000000","-74.16262300000000","[-74.162623,40.610606]","EMS","C",,,,,,,,,,,"2.515","10","39","39","11","2.959","4","26","38","30"
"P.S. 060 Woodhaven","Q060","8329296","1212","6872.3564","General Academic","Elementary","91-02 88 AVENUE","QUEENS","NY","11421","Q","40.69143600000000","-73.85279000000000","[-73.85279,40.691436]","EMS","A",,,,,,,,,,,"2.656","7","33","46","13","3.183","2","17","40","39"
"P.S. 061 Francisco Oller","X061","3703997","398","9306.5251","General Academic","Elementary","1550 CROTONA PARK EAST","BRONX","NY","10460","X","40.83614200000000","-73.89277190000000","[-73.8927719,40.836142]","EMS","C",,,,,,,,,,,"2.222","12","56","28","3","2.383","8","51","34","6"
"P.S. 062 Inocensio Casanova","X062","6284546","719","8740.6759","General Academic","Elementary","660 FOX STREET","BRONX","NY","10455","X","40.81410229999999","-73.90030910000000","[-73.9003091,40.81410229999999]","EMS","B",,,,,,,,,,,"2.112","21","48","26","3","2.434","13","43","30","13"
"P.S. 063 Author's Academy","X063","5500452","552","9964.5870","General Academic","Elementary","1260 FRANKLIN AVENUE","BRONX","NY","10456","X","40.83089900000000","-73.90189590000000","[-73.9018959,40.830899]","EMS","B",,,,,,,,,,,"2.505","8","41","42","8","2.959","5","25","38","31"
"P.S. 063 Old South","Q063","9426670","1263","7463.7134","General Academic","Elementary","90-15 SUTTER AVENUE","QUEENS","NY","11417","Q","40.67696700000000","-73.84678000000000","[-73.84678,40.676967]","EMS","A",,,,,,,,,,,"2.656","6","36","43","14","3.121","2","21","39","37"
"P.S. 064 Joseph P. Addabbo","Q064","5085292","675","7533.7659","General Academic","Elementary","82-01 101 AVENUE","QUEENS","NY","11416","Q","40.68115290000000","-73.85701190000000","[-73.8570119,40.6811529]","EMS","C",,,,,,,,,,,"2.555","7","41","40","11","2.888","3","30","41","25"
"P.S. 064 Pura Belpre","X064","8642239","861","10037.4437","General Academic","Elementary","1425 WALTON AVENUE","BRONX","NY","10452","X","40.84017650000000","-73.91552250000000","[-73.9155225,40.8401765]","EMS","C",,,,,,,,,,,"1.929","30","48","19","2","2.173","16","54","23","5"
"P.S. 064 Robert Simon","M064","3770958","292","12914.2397","General Academic","Elementary","600 EAST 6 STREET","MANHATTAN","NY","10009","M","40.72443990000000","-73.98161809999999","[-73.98161809999999,40.7244399]","EMS","C",,,,,,,,,,,"2.160","15","56","27","2","2.494","7","46","36","10"
"P.S. 065","K065","4829044","584","8268.9110","General Academic","Elementary","696 JAMAICA AVENUE","BROOKLYN","NY","11208","K","40.68704390000000","-73.87872630000001","[-73.87872630000001,40.6870439]","EMS","A",,,,,,,,,,,"2.676","5","35","46","13","3.121","2","20","41","36"
"P.S. 065 Mother Hale Academy","X065","4989614","431","11576.8306","General Academic","Elementary","677 EAST 141 STREET","BRONX","NY","10454","X","40.80790700000000","-73.91252600000000","[-73.912526,40.807907]","EMS","C",,,,,,,,,,,"2.020","26","47","24","2","2.080","20","54","22","3"
"P.S. 066 Jacqueline Kennedy Onassis","Q066","3818169","468","8158.4808","General Academic","Elementary","85-11 102 STREET","QUEENS","NY","11418","Q","40.69768960000000","-73.84647830000000","[-73.8464783,40.6976896]","EMS","A",,,,,,,,,,,"2.808","3","28","53","15","3.191","2","16","42","39"
"P.S. 066 School of Higher Expectations","X066","7325101","602","12167.9419","General Academic","Elementary","1001 JENNINGS STREET","BRONX","NY","10460","X","40.83148700000000","-73.88652499999999","[-73.88652499999999,40.831487]","EMS","B",,,,,,,,,,,"2.204","15","50","31","2","2.525","7","43","39","10"
"P.S. 067 Charles A. Dorsey","K067","2856483","228","12528.4342","General Academic","Elementary","51 SAINT EDWARDS STREET","BROOKLYN","NY","11205","K","40.69446400000000","-73.97799890000000","[-73.9779989,40.694464]","EMS","C",,,,,,,,,,,"2.122","20","50","24","4","2.252","15","54","20","10"
"P.S. 067 Mohegan School","X067","7153511","744","9614.9341","General Academic","Elementary","2024 MOHEGAN AVENUE","BRONX","NY","10460","X","40.84377000000000","-73.88419100000000","[-73.884191,40.84377]","EMS","C",,,,,,,,,,,"2.255","14","51","27","6","2.505","10","43","32","14"
"P.S. 068 Bronx","X068","8503871","772","11015.3769","General Academic","Elementary","4011 MONTICELLO AVENUE","BRONX","NY","10466","X","40.89185940000000","-73.83853060000000","[-73.8385306,40.8918594]","EMS","B",,,,,,,,,,,"2.292","13","48","34","4","2.464","9","46","33","11"
"P.S. 068 Cambridge","Q068","6869346","816","8418.3162","General Academic","Elementary","59-09 SAINT FELIX AVENUE","QUEENS","NY","11385","Q","40.69696400000000","-73.89736700000000","[-73.897367,40.696964]","EMS","B",,,,,,,,,,,"2.428","14","35","42","7","2.602","12","33","35","18"
"P.S. 069 Daniel D. Tompkins","R069","8780232","928","9461.4569","General Academic","Elementary","144 KEATING PLACE","STATEN ISLAND","NY","10314","R","40.59146100000000","-74.15733600000000","[-74.157336,40.591461]","EMS","C",,,,,,,,,,,"2.622","6","39","39","14","2.910","4","30","37","29"
"P.S. 069 Jackson Heights","Q069","8958970","1263","7093.4046","General Academic","Elementary","77-02 37 AVENUE","QUEENS","NY","11372","Q","40.74929980000000","-73.88854429999999","[-73.88854429999999,40.7492998]","EMS","A",,,,,,,,,,,"2.704","5","31","50","12","3.121","3","18","42","36"
"P.S. 069 Journey Prep School","X069","5457755","596","9157.3070","General Academic","Elementary","560 THERIOT AVENUE","BRONX","NY","10473","X","40.81653230000000","-73.86087380000000","[-73.8608738,40.8165323]","EMS","A",,,,,,,,,,,"2.484","9","40","43","7","3.020","3","22","44","30"
"P.S. 070 Max Schoenfeld","X070","11270980","1383","8149.6602","General Academic","Elementary","1691 WEEKS AVENUE","BRONX","NY","10457","X","40.84428690000000","-73.90761309999999","[-73.90761309999999,40.8442869]","EMS","C",,,,,,,,,,,"1.969","27","49","20","2","2.214","16","51","25","6"
"P.S. 070 Queens","Q070","7811670","1063","7348.7018","General Academic","Elementary","30-45 42 STREET","QUEENS","NY","11103","Q","40.76173400000000","-73.91397300000000","[-73.913973,40.761734]","EMS","C",,,,,,,,,,,"2.565","11","33","43","12","2.949","5","24","40","29"
"P.S. 071 Forest","Q071","8694708","991","8773.6710","General Academic","Elementary","62-85 FOREST AVENUE","QUEENS","NY","11385","Q","40.71128070000000","-73.90531010000000","[-73.9053101,40.7112807]","EMS","C",,,,,,,,,,,"2.393","12","44","35","8","2.757","6","35","35","23"
"P.S. 071 Rose E. Scala","X071","11685156","1632","7160.0221","General Academic","K-8","3040 ROBERTS AVENUE","BRONX","NY","10461","X","40.84585900000000","-73.82962160000000","[-73.8296216,40.845859]","EMS","C",,,,,,,,,,,"2.480","8","42","44","6","2.878","6","28","37","28"
"P.S. 072 Dr. William Dorney","X072","9415614","973","9676.8900","General Academic","Elementary","2951 DEWEY AVENUE","BRONX","NY","10465","X","40.82320800000000","-73.81818190000000","[-73.8181819,40.823208]","EMS","C",,,,,,,,,,,"2.222","19","43","33","4","2.494","10","43","33","13"
"P.S. 073 Bronx","X073","8208969","922","8903.4371","General Academic","Elementary","1020 ANDERSON AVENUE","BRONX","NY","10452","X","40.83258500000000","-73.92639700000000","[-73.926397,40.832585]","EMS","B",,,,,,,,,,,"1.959","32","43","20","4","2.111","24","44","27","4"
"P.S. 073 Thomas S. Boyland","K073","5457406","504","10828.1865","General Academic","K-8","251 MCDOUGAL STREET","BROOKLYN","NY","11233","K","40.68030180000000","-73.91081590000000","[-73.9108159,40.6803018]","EMS","C",,,,,,,,,,,"1.908","28","52","17","1","2.204","16","53","22","7"
"P.S. 075 Emily Dickinson","M075","5752201","733","7847.4775","General Academic","Elementary","735 WEST END AVENUE","MANHATTAN","NY","10025","M","40.79508070000000","-73.97359949999999","[-73.97359949999999,40.7950807]","EMS","C",,,,,,,,,,,"2.424","12","42","36","9","2.666","5","42","33","19"
"P.S. 075 Mayda Cortiella","K075","5867332","637","9210.8823","General Academic","Elementary","95 GROVE STREET","BROOKLYN","NY","11221","K","40.69325400000000","-73.92132099999999","[-73.92132099999999,40.693254]","EMS","C",,,,,,,,,,,"2.333","17","39","36","7","2.697","8","38","29","24"
"P.S. 076 A. Philip Randolph","M076","4114036","447","9203.6600","General Academic","Elementary","220 WEST 121 STREET","MANHATTAN","NY","10027","M","40.80661810000000","-73.95092269999999","[-73.95092269999999,40.8066181]","EMS","C",,,,,,,,,,,"1.989","26","50","21","2","2.161","18","54","20","7"
"P.S. 076 The Bennington School","X076","8102401","1096","7392.7016","General Academic","Elementary","900 ADEE AVENUE","BRONX","NY","10469","X","40.86912000000000","-73.86092200000000","[-73.860922,40.86912]","EMS","A",,,,,,,,,,,"2.520","9","41","36","12","2.808","4","32","42","21"
"P.S. 076 William Hallet","Q076","8601430","601","14311.8636","General Academic","Elementary","36-36 10 STREET","QUEENS","NY","11106","Q","40.76084800000000","-73.94163200000000","[-73.941632,40.760848]","EMS","A",,,,,,,,,,,"2.262","17","43","35","4","2.646","11","32","37","19"
"P.S. 078 Anne Hutchinson","X078","6492075","756","8587.4008","General Academic","Elementary","1400 NEEDHAM AVENUE","BRONX","NY","10469","X","40.87847820000000","-73.85134830000000","[-73.8513483,40.8784782]","EMS","C",,,,,,,,,,,"2.051","26","44","25","3","2.303","17","45","27","10"
"P.S. 079 Francis Lewis","Q079","5646878","814","6937.1966","General Academic","Elementary","147-27 15 DRIVE","QUEENS","NY","11357","Q","40.78608830000000","-73.81230230000000","[-73.8123023,40.7860883]","EMS","C",,,,,,,,,,,"2.666","7","32","47","13","3.030","4","22","40","33"
"P.S. 080 Thurgood Marshall Magnet","Q080","6916172","639","10823.4304","General Academic","Elementary","171-05 137 AVENUE","QUEENS","NY","11434","Q","40.67314770000000","-73.76898050000000","[-73.7689805,40.6731477]","EMS","C",,,,,,,,,,,"2.260","18","43","34","5","2.373","13","44","34","8"
"P.S. 081 Robert J. Christen","X081","5610071","685","8189.8847","General Academic","Elementary","5550 RIVERDALE AVENUE","BRONX","NY","10471","X","40.90354650000000","-73.90505460000000","[-73.9050546,40.9035465]","EMS","C",,,,,,,,,,,"2.642","5","36","46","11","2.868","3","31","41","24"
"P.S. 081 Thaddeus Stevens","K081","4899386","447","10960.5951","General Academic","Elementary","990 DEKALB AVENUE","BROOKLYN","NY","11221","K","40.69324720000000","-73.93495670000001","[-73.93495670000001,40.6932472]","EMS","B",,,,,,,,,,,"2.292","16","46","29","8","2.393","10","48","33","8"
"P.S. 082 Hammond","Q082","5538799","627","8833.8102","General Academic","Elementary","88-02 144 STREET","QUEENS","NY","11435","Q","40.70410260000000","-73.81178419999999","[-73.81178419999999,40.7041026]","EMS","B",,,,,,,,,,,"2.535","11","36","40","12","2.868","5","27","43","24"
"P.S. 083 Donald Hertz","X083","11750768","1644","7147.6691","General Academic","K-8","950 RHINELANDER AVENUE","BRONX","NY","10462","X","40.84913400000000","-73.85875700000000","[-73.858757,40.849134]","EMS","C",,,,,,,,,,,"2.424","9","45","39","6","2.777","6","33","37","23"
"P.S. 083 Luis Munoz Rivera","M083","3546187","439","8077.8747","General Academic","Elementary","219 EAST 109 STREET","MANHATTAN","NY","10029","M","40.79298900000000","-73.94200900000000","[-73.942009,40.792989]","EMS","A",,,,,,,,,,,"3.030","1","18","56","23","3.313","0","14","40","45"
"P.S. 084 Jose De Diego","K084","5586195","458","12196.9323","General Academic","Elementary","250 BERRY STREET","BROOKLYN","NY","11211","K","40.71478790000000","-73.96301770000000","[-73.9630177,40.7147879]","EMS","C",,,,,,,,,,,"2.000","27","46","25","1","2.121","22","48","24","5"
"P.S. 084 Lillian Weber","M084","4291780","488","8794.6311","General Academic","Elementary","32 WEST 92 STREET","MANHATTAN","NY","10025","M","40.78938420000000","-73.96798799999999","[-73.96798799999999,40.7893842]","EMS","C",,,,,,,,,,,"2.171","19","47","30","3","2.414","8","49","35","7"
"P.S. 084 Steinway","Q084","4024232","415","9696.9446","General Academic","K-8","22-45 41 STREET","QUEENS","NY","11105","Q","40.77118220000000","-73.90610800000000","[-73.906108,40.7711822]","EMS","C",,,,,,,,,,,"2.343","11","48","35","5","2.686","5","36","43","15"
"P.S. 085 Great Expectations","X085","12178308","1195","10191.0527","General Academic","Elementary","2400 MARION AVENUE","BRONX","NY","10458","X","40.85865900000000","-73.89468500000000","[-73.894685,40.858659]","EMS","C",,,,,,,,,,,"1.989","26","50","21","2","2.121","19","54","21","5"
"P.S. 085 Judge Charles Vallone","Q085","4891548","513","9535.1813","General Academic","Elementary","23-70 31 STREET","QUEENS","NY","11105","Q","40.77274449999999","-73.91486610000000","[-73.9148661,40.77274449999999]","EMS","C",,,,,,,,,,,"2.596","7","38","42","12","2.990","5","28","30","37"
"P.S. 086 Kingsbridge Heights","X086","14018437","1767","7933.4675","General Academic","Elementary","2756 RESERVOIR AVENUE","BRONX","NY","10468","X","40.86921479999999","-73.89789660000000","[-73.8978966,40.86921479999999]","EMS","A",,,,,,,,,,,"2.323","17","40","35","7","2.760","5","36","37","22"
"P.S. 086 The Irvington","K086","4663882","537","8685.0689","General Academic","Elementary","220 IRVING AVENUE","BROOKLYN","NY","11237","K","40.70088570000000","-73.91768970000000","[-73.9176897,40.7008857]","EMS","C",,,,,,,,,,,"2.326","14","45","32","7","2.545","7","44","35","13"
"P.S. 087 Bronx","X087","4398911","567","7758.2205","General Academic","Elementary","1935 BUSSING AVENUE","BRONX","NY","10466","X","40.89508210000000","-73.84606310000000","[-73.8460631,40.8950821]","EMS","C",,,,,,,,,,,"2.142","20","47","28","3","2.357","13","45","32","8"
